Physical Conditions Disappear After Writing Solemn Statements Regretting Disrespectful Remarks,Các vấn đề về sức khoẻ biến mất sau khi viết nghiêm chính thanh minh
Incapacitated Husband Files Complaints against Perpetrators for Wrongfully Sentencing His Wife,Người chồng tàn tật đệ đơn kiện những thủ phạm kết án oan sai vợ ông
Shandong Province Prison Guard to Inmates: “Don’t Treat Falun Gong Practitioners as Human Beings”,Lính canh Nhà tù tỉnh Sơn Đông nói với tù nhân: “Không được đối xử với học viên Pháp Luân Công như con người”
Former Township Officials in Hebei Province Actively Persecute Falun Gong Practitioners Over the Years,Tỉnh Hà Bắc: Sự tà ác của các cựu nhân viên chính quyền xã Giang Thành trong cuộc bức hại Pháp Luân Công
Hebei Man Serving Seven Years for His Faith Not Allowed to Attend Father’s Funeral,Người đàn ông Hà Bắc đang thụ án 7 năm tù vì kiên định đức tin không được phép tham dự tang lễ của cha mình
"Arrested for Distributing Falun Gong Materials, Guangdong Woman Gets Four Years",Người phụ nữ Quảng Đông bị bắt giữ và kết án 4 năm tù vì phân phát tài liệu thông tin Pháp Luân Công
Belated News: Small Business Owner Falls to His Death After Police Push Him out of a Window,Tin muộn: Một chủ doanh nghiệp nhỏ bị cảnh sát cố ý đẩy ra ngoài cửa sổ và ngã xuống đất tử vong
Belated News: Small Business Owner Falls to His Death After Police Push Him out of a Window,Thông tin bổ sung về cái chết của ông Trương Quang Thanh trong khi bị giam giữ cách đây 20 năm
"68-year-old Woman Sentenced to 2.5 Years for Her Faith, Less Than Two Years After Serving Eight Months","Sau chưa đầy 2 năm mãn hạn tù, người phụ nữ 68 tuổi lại bị kết án 2,5 năm tù vì kiên định đức tin"
Kindness Brings Blessings,"Dùng Thiện đãi người, Trời ban hạnh phúc bình an"
"Additional Persecution News from China – September 8, 2022 (16 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 8 tháng 9 năm 2022 (16 báo cáo)
Two Liaoning Residents Sentenced to Prison for Practicing Falun Gong,Hai cư dân ở tỉnh Liêu Ninh bị kết án tù vì tập Pháp Luân Công
Complaint Against President of Jilin High Court for Blocking Legal Representation of Falun Gong Practitioners,Đơn kiện chánh án Tòa án cấp cao Cát Lâm vì ngăn cản việc đại diện pháp luật của các học viên Pháp Luân Công
New Brainwashing Campaign Launched against Falun Gong Practitioners in Sichuan Province,Một chiến dịch tẩy não mới được phát động nhằm vào các học viên Pháp Luân Công ở tỉnh Tứ Xuyên
76-year-old Woman with Deformed Spine Sentenced Again for Her Faith,"Người phụ nữ 76 tuổi đã bị chính quyền bức hại đến biến dạng cột sống, nay lại bị kết án tù một lần nữa vì kiên định đức tin"
Jiangxi Woman Becomes Mentally Disoriented After Ten Months of Incarceration for Her Faith,Một người phụ nữ Giang Tây bị rối loạn tâm thần sau 10 tháng bị giam giữ vì kiên định đức tin
Shandong Woman Gets Three Years for Distributing Information About Her Faith,Người phụ nữ Sơn Đông bị kết án 3 năm tù vì phân phát tài liệu thông tin Pháp Luân Công
"Baoding City, Hebei Province: Ten Falun Gong Practitioners Arrested in One Day","Thành phố Bảo Định, tỉnh Hà Bắc: Cảnh sát bắt giữ 10 học viên Pháp Luân Công trong một ngày"
Police Steal Cash and Valuables from Falun Gong Practitioners during Home Raids,Cảnh sát lấy trộm tiền mặt và tài sản có giá trị của các học viên Pháp Luân Công khi đổ bộ vào nhà của họ
Authorities in Hebei Townships Harass Falun Gong Practitioners Ahead of CCP National Congress,"Huyện Lễ, tỉnh Hà Bắc: Chính quyền xã sách nhiễu các học viên Pháp Luân Công trước thềm Đại hội toàn quốc lần thứ 16 của ĐCSTQ"
"Additional Persecution News from China – September 7, 2022 (10 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 7 tháng 9 năm 2022 (10 báo cáo)
"Hebei Man Sentenced for Practicing Falun Gong, Term Later Changed from 3.5 to 6 Years","Một tòa án ở tỉnh Hà Bắc tùy tiện sửa bản án của một người đàn ông từ 3,5 năm lên 6 năm"
"Having Served Ten Years, Shanghai Woman Gets Four More Years for Her Faith","Thượng Hải: Một người phụ nữ từng bị cầm tù oan sai 10 năm, nay lại bị kết án 4 năm tù vì kiên định tu luyện Pháp Luân Công"
82-year-old Man Sentenced to Three Years for His Faith,Tỉnh Sơn Đông: Ông cụ 82 tuổi bị kết án 3 năm tù vì kiên định đức tin
Police Steal Cash and Valuables from Falun Gong Practitioners during Home Raids,"Một người đàn ông Sơn Đông bị kết án 1,5 năm tù vì phân phát tài liệu thông tin Pháp Luân Công"
"Guangdong Woman Sentenced to Six Years for Distributing Materials about Falun Gong, Appeal Rejected","Một người phụ nữ Quảng Đông bị kết án 6 năm tù vì phân phát tài liệu thông tin Pháp Luân Công, kháng cáo của bà bị bác bỏ"
Shandong Woman Convicted for Raising Awareness about the Persecution of Her Faith,Người phụ nữ Sơn Đông bị kết án tù vì nâng cao nhận thức về cuộc bức hại Pháp Luân Công
"Guangdong Woman Sentenced to Six Years for Distributing Materials about Falun Gong, Appeal Rejected",Người phụ nữ Liêu Ninh trở thành học viên Pháp Luân Công thứ 34 bị kết án oan sai bởi cùng một tòa án
Two Heilongjiang Women Convicted for Raising Awareness about the Persecution of Falun Gong,Hai người phụ nữ Hắc Long Giang đã bị kết án vì nâng cao nhận thức về cuộc bức hại Pháp Luân Công
"Zhanjiang City, Guangdong Province: 15 Falun Gong Practitioners Arrested in One Day","Thành phố Trạm Giang, tỉnh Quảng Đông: 15 học viên bị bắt trong một ngày"
"Additional Persecution News from China – September 6, 2022 (13 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 6 tháng 9 năm 2022 (13 báo cáo)
Wife Dies from Cancer While Husband Serves Lengthy Term for His Faith,Người vợ qua đời vì bệnh ung thư trong khi người chồng vẫn đang bị cầm tù oan sai vì kiên định đức tin
Tianjin Woman Sentenced to Five Years for Putting Up Information about Falun Gong,Một người phụ nữ Thiên Tân bị kết án 5 năm tù vì treo tài liệu thông tin Pháp Luân Công
"Additional Persecution News from China – September 5, 2022 (17 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 5 tháng 9 năm 2022 (17 báo cáo)
"Nearly Dead After Years of Torture, Inner Mongolia Woman Now Has Her Pension Suspended","Nội Mông Cổ: Một người phụ nữ từng rơi vào tình trạng nguy kịch sau nhiều năm bị tra tấn trong khi bị giam giữ, nay đang bị tước lương hưu"
86-year-old Convicted for Hosting Study Session of Her Spiritual Belief at Home,Cụ bà 86 tuổi bị kết án vì tổ chức đọc sách của Pháp Luân Công tại nhà riêng
Liaoning Woman Given Four-year Sentence for Her Faith,Người phụ nữ Liêu Ninh bị kết án 4 năm tù vì kiên định đức tin
Liaoning Man Endures Two Forced Labor Terms for Upholding His Faith,Người đàn ông Liêu Ninh lãnh hai bản án lao động cưỡng bức vì kiên định đức tin của mình
Belated News: Jewelry Merchant Dies Three Years after Being Jailed for His Faith,Tin muộn: Một doanh nhân buôn bán trang sức đã qua đời sau ba năm mãn hạn án tù oan sai
"Yunnan Woman Sentenced, Bedridden Mother Faces Lack of Care","Tỉnh Vân Nam: Một người phụ nữ bị kết án tù, người mẹ già nằm liệt giường thiếu người chăm sóc"
"Suihua City, Heilongjiang Province: At Least Eleven Falun Gong Practitioners Arrested in One Day","Thành phố Tuy Hóa, tỉnh Hắc Long Giang: Ít nhất 11 học viên Pháp Luân Công bị bắt trong một ngày"
Communist Regime Prosecutor: “A Falun Gong Case Is More Severe Than Murder or Arson”,"Công tố viên của chính quyền cộng sản Trung Quốc: “Án Pháp Luân Công nghiêm trọng hơn án sát nhân, phóng hỏa”"
"Imprisoned Twice for a Total of 14 Years, Liaoning Woman Recounts Her Ordeal",Nữ học viên tỉnh Liêu Ninh thuật lại hai lần chịu cảnh tù đày trong 14 năm
Liaoning Woman Wins Appeal Over Suspended Pension for Her Faith,Một người phụ nữ Liêu Ninh đã thắng vụ kiện với cơ quan bảo hiểm trong việc treo lương hưu của bà
"Renowned Doctor Faces Prosecution for His Faith, His Patients Harassed by Police","Bác sỹ nổi tiếng đối mặt với truy tố vì đức tin vào Pháp Luân Công, bệnh nhân của ông bị cảnh sát sách nhiễu"
"Additional Persecution News from China – September 4, 2022 (15 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 4 tháng 9 năm 2022 (15 báo cáo)
Liaoning Woman Loses Vision and Suffers Heart Condition While Serving Time for Her Faith,Người phụ nữ Liêu Ninh mất thị lực và bị lên cơn đau tim trong khi bị cầm tù vì kiên định đức tin
"The Crimes of Fan Qingping, Manager in Hebei Women’s Prison",Tội ác của trưởng Khu giam giữ 14 trong Nhà tù Nữ Hà Bắc Phạm Thanh Bình
How Did Xiaoyu Make Breakthroughs in His Sales Performance for His Company?,Bí quyết gì giúp một nhân viên mới ít kinh nghiệm Tiểu Vũ có thể tạo nên kỳ tích về doanh thu cho công ty?
Jilin Woman Sentenced to Five Years for Practicing Falun Gong,Một phụ nữ ở tỉnh Cát Lâm bị kết án 5 năm tù vì tu luyện Pháp Luân Công
Guangdong Man Detained for His Faith—Family Files Complaints Against Key Perpetrators,"Một người đàn ông ở tỉnh Quảng Đông bị giam giữ vì kiên định đức tin, người nhà ông đang kiện những thủ phạm chính"
Hebei Woman Returns Home from Four Years of Imprisonment to Learn of Husband’s Death Two Years Ago,Một phụ nữ ở tỉnh Hà Bắc trở về nhà sau 4 năm bị bỏ tù và biết rằng chồng bà đã chết 2 năm trước
Heartfelt Words for Practitioners Engaged in Truth-Clarification Technical Support,Mấy lời chân thành gửi đến đồng tu làm tài liệu và đồng tu hỗ trợ kỹ thuật
Guangdong Woman Given Third Prison Term for Her Faith,Một người phụ nữ Quảng Đông bị kết án tù lần 3 vì tu luyện Pháp Luân Công
"Crimes Committed by Zheng Zhu’e and Yu Yunxia, Members of the 610 Office of Guangdong Women’s Prison in the Persecution of Falun Gong","Những tội ác của Trịnh Châu Nga và Vu Vân Hà, nhân viên Phòng 610 tại Nhà tù Nữ tỉnh Quảng Đông, trong cuộc bức hại Pháp Luân Công"
Guangdong Woman Convicted for Her Faith,Một người phụ nữ Quảng Đông bị kết án vì kiên định đức tin
Shandong Woman Given Four-Year Wrongful Sentence for Her Faith,Một người phụ nữ Sơn Đông bị kết án oan sai 4 năm tù vì kiên định đức tin vào Pháp Luân Công
Sichuan Woman Appeals Three-Year Wrongful Sentence for Her Faith,"Người phụ nữ Tứ Xuyên bị kết án 3 năm tù oan sai vì tu luyện Pháp Luân Công, hiện bà đang kháng cáo"
Woman in Her 70s Sentenced for Her Faith Without a Trial,Tòa án ở tỉnh Giang Tây kết án một người phụ nữ ngoài 70 tuổi mà không tổ chức xét xử
"Shaanxi Man Arrested Four Years Ago for His Faith, Whereabouts Remains Unknown to Family",Người đàn ông Thiểm Tây bị bắt cách đây 4 năm vì kiên định đức tin và bặt vô âm tín kể từ đó
Hebei Man Sentenced to 1.5 Years for Practicing Falun Gong,"Người đàn ông Hà Bắc bị kết án 1,5 năm tù vì tu luyện Pháp Luân Công"
82-year-old Sentenced to One Year for Distributing Falun Gong Materials,Một bà cụ 82 tuổi bị kết án một năm tù vì phân phát tài liệu thông tin Pháp Luân Công
"Huaihua City, Hunan Province: At Least 28 Falun Gong Practitioners Arrested in One Day","Thành phố Hoài Hóa, tỉnh Hồ Nam: Ít nhất 28 học viên Pháp Luân Công bị bắt trong một ngày"
"Additional Persecution News from China – September 3, 2022 (15 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 3 tháng 9 năm 2022 (15 báo cáo)
Liaoning Woman Stands Trial for Practicing Falun Gong,Người phụ nữ Liêu Ninh bị xét xử vì tu luyện Pháp Luân Công
Elderly Woman Sentenced After Family Refuses to Pay Police Extortion,Người phụ nữ cao niên bị kết án sau khi người nhà bà từ chối thỏa hiệp với hành vi tống tiền của cảnh sát
"Additional Persecution News from China – September 2, 2022 (18 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 2 tháng 9 năm 2022 (18 báo cáo)
Shandong Woman Sentenced to One Year for Her Faith,Một người phụ nữ Sơn Đông bị kết án một năm tù vì kiên định đức tin
"Hefei City, Anhui Province: Over 40 Falun Gong Practitioners Indicted and Sentenced Since 2018 by Same Procuratorate and Court","Thành phố Hợp Phì, tỉnh An Huy: Hơn 40 học viên Pháp Luân Công bị truy tố và kết án từ năm 2018 bởi cùng tòa án và viện kiểm sát"
Jilin Woman Tortured During Ten-month Prison Term for Distributing Information about Her Faith,Một người phụ nữ Cát Lâm bị tra tấn trong suốt10 tháng bị cầm tù vì phân phát tài liệu Pháp Luân Công
Three Liaoning Residents Imprisoned for Their Faith in Falun Gong,Ba cư dân Liêu Ninh bị bỏ tù vì đức tin của họ vào Pháp Luân Công
Liaoning Woman Brutally Tortured for Five Years in Prison for Her Faith,Một người phụ nữ Liêu Ninh bị tra tấn tàn bạo suốt 5 năm trong tù vì kiên định đức tin
Company Liaison to Chinese Prisons Reveals Cruel Treatment of Falun Gong Practitioners,Người liên lạc của công ty bên ngoài với các nhà tù Trung Quốc tiết lộ sự bức hại tàn bạo của ĐCSTQ đối với các học viên Pháp Luân Công bị cầm tù
How Authorities in Shanghai’s Changning District Abuse Falun Gong Practitioners Incarcerated for Their Faith,Thượng Hải: Hành vi ngược đãi học viên Pháp Luân Công đang bị giam giữ của những người có thẩm quyền ở quận Trường Ninh
73-year-old Woman Convicted the Second Time for Her Faith,Một người phụ nữ 73 tuổi bị kết án lần hai vì tu luyện Pháp Luân Công
Gansu Man Released After Serving 20 Years for Tapping into Cable TV to Expose Defamatory Propaganda Against His Faith,Một người đàn ông Cam Túc được thả sau 20 năm thụ án vì chèn sóng truyền hình để vạch trần những tuyên truyền phỉ báng nhắm vào đức tin của ông
"Imprisoned Man Brutally Beaten and Electrically Shocked in the Anus, Salt Rubbed into His Wounds","Lính canh tù đánh đập tàn bạo đàn, sốc điện vào hậu môn, xát muối vào vết thương của một học người đàn ông bị cầm tù vì kiên định đức tin"
Guangdong Man Sentenced to 5.5 Years for Practicing Falun Gong,"Một người đàn ông Quảng Đông bị kết án 5,5 năm tù vì tu luyện Pháp Luân Công"
Hebei Man Dies in Prison Hospital 16 Months after Being Jailed for His Faith,Một người đàn ông ở tỉnh Hà Bắc chết trong bệnh viện của trại tù 16 tháng sau khi bị bỏ tù vì tín ngưỡng của mình
"Arrested in a Police Sweep, 73-year-old Woman Sentenced to Five Years","Bị bắt trong một cuộc càn quét của cảnh sát, một cụ bà 73 tuổi bị kết án 5 năm"
"Heilongjiang Woman Develops Cancer While in Custody, Dies Months after Release","Tỉnh Hắc Long Giang: Một người phụ nữ bị bệnh ung thư ở trong tù, đã qua đời sau vài tháng được trả tự do"
"Crimes Committed by Wu Zhe, Former Chief Prosecutor of Dalian City Procuratorate, in the Persecution of Falun Gong","Các tội danh của Ngô Triết, Cựu công tố viên trưởng Viện Kiểm sát Thành phố Đại Liên, trong cuộc bức hại Pháp Luân Công"
Mother of Two Beaten to Death While Serving Time for Her Faith,Một bà mẹ hai con bị đánh đến chết trong thời gian thụ án tù vì đức tin của mình
Torture Methods Used Against Falun Gong Practitioners in Chengdu Women’s Prison,Những phương pháp tra tấn học viên Pháp Luân Công trong Nhà tù Nữ thành phố Thành Đô
"Eleven Years After Man’s Wrongful Death, Prison Cremates His Body","Mười một năm sau cái chết oan sai của ông Tần Nguyệt Minh, nhà tù hỏa táng thi thể của ông nhằm che đậy sự thật"
"Additional Persecution News from China – September 1, 2022 (14 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 1 tháng 9 năm 2022 (14 báo cáo)
"Xiaogan City, Hubei Province: New Deputy Party Secretary Intensifies Persecution of Falun Gong","Thành phố Hiếu Cảm, tỉnh Hồ Bắc: Tân phó bí thư tăng cường bức hại Pháp Luân Công"
Falun Gong Practitioners in Their 80s Harassed for Their Faith,"Tỉnh Quảng Đông: Cảnh sát sách nhiễu các học viên Pháp Luân Công cao tuổi, trong đó có hai người đã ngoài 80"
Sichuan Veteran Detained for Five Months and Counting for Practicing Falun Gong,Tỉnh Tứ Xuyên: Một cựu chiến binh bị giam giữ 5 tháng và đang bị buộc tội vì tu luyện Pháp Luân Công
Guangdong Woman Sentenced to Three Years for Talking to People about Falun Gong,Một người phụ nữ Quảng Đông bị kết án 3 năm tù vì nói với người dân về Pháp Luân Công
Liaoning Man Sentenced to Three Years for Practicing Falun Gong,Người đàn ông Liêu Ninh bị kết án 3 năm tù vì tu luyện Pháp Luân Công
"Sichuan Woman Imprisoned for Speaking Up for Her Faith, Denied Family Visits for Two Years","Người phụ nữ Tứ Xuyên bị cầm tù vì liên tiếng cho đức tin của mình, không được gặp người thân trong hai năm"
Shandong Man Arrested for Raising Awareness about the Persecution of Falun Gong Online,Một cư dân Sơn Đông bị bắt vì giảng chân tướng cuộc bức hại Pháp Luân Công ở trên mạng Internet
Guangdong Woman Sentenced to Four Years by Court Designated to Handle Falun Gong Cases,Một người phụ nữ Quảng Đông bị kết án 4 năm tù vì phân phát tài liệu Pháp Luân Công
Two-year-old Boy Interrogated for Grandmother’s Spiritual Belief,Cảnh sát thẩm vấn một cậu bé hai tuổi vì bà cậu tu luyện Pháp Luân Công
Man Sentenced to 8 Years for Posting Information about Falun Gong on WeChat,Tỉnh Hà Bắc: Một người đàn ông bị kết án 8 năm tù vì đăng thông tin Pháp Luân Công trên WeChat
Liaoning Woman Convicted for Distributing Information about Her Faith,Một phụ nữ Liêu Ninh bị kết án vì truyền bá thông tin về đức tin của bà
Hunan Woman Harassed for Her Faith in Falun Gong,Người phụ nữ Hồ Nam bị chính quyền sách nhiễu vì kiên định đức tin vào Pháp Luân Công
How Gansu Province Women’s Prison Persecutes Falun Gong Practitioners Incarcerated for Their Faith,Học viên Pháp Luân Công bị cầm tù trong Nhà tù Nữ tỉnh Cam Túc bị bức hại vì kiên định đức tin
Persecution of Falun Gong Practitioners at Nanjing Women’s Prison,Việc bức hại các học viên Pháp Luân Công trong Trại tù nữ Nam Kinh
Hebei Man in His 70s Sentenced to One Year for Putting Up Information about Falun Gong,Người đàn ông Hà Bắc ngoài 70 tuổi bị kết án 1 năm tù vì dán tài liệu thông tin Pháp Luân Công
Former College Lecturer Sexually Assaulted by a Torture Expert,Một cựu giảng viên đại học bị một chuyên gia tra tấn tấn công tình dục
"Sichuan Resident Arrested for Her Faith, Found Tracking Device on Her Tricycle","Một cư dân Tứ Xuyên bị bắt vì kiên định đức tin, phát hiện cảnh sát đã gắn thiết bị theo dõi vào chiếc xe ba bánh của bà"
"Woman and Her Mother-in-law Arrested for Their Faith, 370K Yuan Confiscated during Home Raid","Một người phụ nữ và mẹ chồng của bà bị bắt vì kiên định đức tin, 370.000 nhân dân tệ tiền mặt của họ bị cảnh sát lấy đi trong cuộc đột kích"
Incapacitated Husband Pleads for the Release of Wife Imprisoned for Her Faith,Người đàn ông mất khả năng tự chăm sóc bản thân cầu xin chính quyền trả tự do cho người vợ đang bị cầm tù oan sai
Ailments Disappear By Reciting Falun Dafa’s Auspicious Phrases,Bệnh tật biến mất sau khi thành tâm niệm chín chữ chân ngôn Pháp Luân Đại Pháp
"Photography Studio Owner Arrested for His Faith, Interrogated in Metal Chair for Three Days","Chủ tiệm ảnh bị bắt vì kiên định đức tin, bị trói vào ghế sắt và thẩm vấn suốt 3 ngày"
Miracles in My Niece’s Family,Phép màu đến với gia đình cháu gái tôi
Blessed by Dafa’s Master for Striving to Be a Good Person,Đắc phúc báo sau khi minh bạch chân tướng và cố gắng làm một người tốt
My Family Is Blessed and Protected by Falun Dafa,Người nhà tôi được Pháp Luân Đại Pháp ban phúc và bảo hộ
82-year-old Hebei Man Jailed for 4.5 Years for His Faith,"Người đàn ông Hà Bắc 82 tuổi vừa mới được trả tự do sau 4,5 năm bị cầm tù oan sai vì kiên định đức tin"
Sichuan Man Arrested for His Faith Forced to Fingerprint a Document,Người đàn ông Tứ Xuyên bị cưỡng chế điểm chỉ vào giấy tờ không rõ nội dung sau khi bị bắt vì tu luyện Pháp Luân Công
Hebei Man Faces Prosecution for Raising Awareness about the Persecution of His Faith,Người đàn ông ở tỉnh Hà Bắc phải đối mặt với việc bị truy tố vì phổ biến thông tin về cuộc đàn áp đối với tín ngưỡng của mình
Falun Gong Practitioners Relentlessly Persecuted at Lanzhou Prison in Gansu Province,Các học viên Pháp Luân Công bị bức hại không ngớt tại Trại tù Lan Châu ở tỉnh Cam Túc
Falun Gong Practitioners Brutally Tortured in Suzhou Prison—At Least Nine Dead,"Học viên Pháp Luân Công bị tra tấn tàn bạo trong Nhà tù Túc Châu, ít nhất chín người đã qua đời"
Falun Gong Practitioners Arrested and Harassed Prior to the Mid-Autumn Festival,Nhiều học viên Pháp Luân Công ở Trung Quốc bị bắt và sách nhiễu trước Tết Trung thu
Reported in July 2022: 55 Falun Gong Practitioners Sentenced for Their Faith,Báo cáo tháng 7 năm 2022: 55 học viên Pháp Luân Công bị kết án vì kiên định đức tin
100-Year-Old Father Says “People Know Falun Dafa Is Good”,Người cha 100 tuổi nói: “Mọi người đều biết Pháp Luân Đại Pháp hảo!“
Hunan Woman Recalls Torture Endured at Elderly Care Center,Người phụ nữ Hồ Nam kể lại việc bị tra tấn trong trung tâm chăm sóc người cao tuổi
"Additional Persecution News from China – August 3, 2022 (16 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 3 tháng 8 năm 2022 (16 báo cáo)
Belated News: Jilin Man Dies Three Months After Being Released on Medical Parole,Tin muộn: Người đàn ông Cát Lâm qua đời sau ba tháng được tạm tha y tế
Chinese Communist Party Losing Its Foothold from Within,Đảng Cộng sản Trung Quốc đã mất chỗ đứng từ bên trong nội bộ
Senior Information Engineer Pleads Not Guilty for Distributing Falun Gong Materials,Kỹ sư công nghệ thông tin cao cấp khẳng định việc phân phát tài liệu Pháp Luân Công không phạm tội
A Person Wanting to Kill Changes His Mind,Một người muốn sát nhân đã thay đổi ý định
Blessed After Quitting the Chinese Communist Party,Tam thoái là chân phúc
Doing Good Deeds Changes One’s Life,"Hành thiện giúp người, tích đức cải mệnh"
"Hubei Man Sentenced to Six Years for His Faith, Tortured in Prison",Người đàn ông Hồ Bắc bị kết án 6 năm và bị tra tấn ở trong tù vì kiên định đức tin
Sichuan Woman Dies in Custody Ten Months after Being Arrested for Her Faith,Một người phụ nữ Tứ Xuyên qua đời trong trại giam sau 10 tháng bị bắt giữ vì kiên định đức tin
"Family Tragedy: Father Dies, Mother Sentenced, Son Tortured and Daughter Forced into Displacement",Một cựu bác sỹ da liễu bị kết án tù vì nâng cao nhận thức về cuộc bức hại Pháp Luân Công
Shandong Woman Sentenced to 2.5 Years for Talking to People about Falun Gong,"Một người phụ nữ Sơn Đông bị kết án 2,5 năm tù vì nói với mọi người về Pháp Luân Công"
Belated News: Guangdong Woman Sentenced to Prison for Talking to People about Falun Gong,Tin muộn: Người phụ nữ Quảng Đông bị kết án tù vì nói với mọi người về Pháp Luân Công
"Woman Blinded After Serving Four Years for Her Faith, Dies Eight Years Later",Người phụ nữ bị mù sau khi thụ án 4 năm vì đức tin của mình và đã qua đời 8 năm sau đó
"After Ten Years of Incarceration, Beijing Man Faces Prison Term for His Faith Again","Sau 10 năm bị giam giữ, người đàn ông Bắc Kinh lại phải đối mặt với án tù vì đức tin của mình"
"Liaoning Woman Denied Family Visits for Four Years, Force Fed After Going on a Hunger Strike",Tỉnh Liêu Ninh: Một người phụ nữ bị tước quyền thăm thân trong 4 năm và bị bức thực
"While Start of Previous Prison Term Is Delayed, Shandong Woman Arrested and Sentenced Again",Tỉnh Sơn Đông: Một người phụ nữ lại bị bắt và kết án trong khi vẫn đang chấp hành quyết định “giám sát tại nơi cư trú” từ án tù lần trước
Police Continue to Harass 72-year-old Woman Disabled from Torture,Cảnh sát tiếp tục sách nhiễu người phụ nữ 72 tuổi dù bà đã bị liệt do các cuộc tra tấn trước đó
17 Years of Imprisonment and Family Agony,17 năm ngồi tù oan sai và gia đình lâm vào cảnh khốn cùng
Crimes Against Falun Gong Practitioners in the 11th Ward of Shandong Province Women’s Prison,Tội ác đối với các học viên Pháp Luân Công tại khu 11 của Nhà tù Nữ tỉnh Sơn Đông
"Additional Persecution News from China – August 2, 2022 (20 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 2 tháng 8 năm 2022 (20 báo cáo)
My Father Recovered from Cirrhosis of the Liver by Reciting the Falun Dafa Auspicious Phrases,Cha tôi khỏi bệnh xơ gan cổ trướng nhờ niệm chín chữ chân ngôn Pháp Luân Đại Pháp
Woman Taken Away by 610 Office Agents After Finishing Prison Term for Practicing Falun Gong,Một phụ nữ bị đặc vụ Phòng 610 bắt đi sau khi mãn hạn tù vì tu luyện Pháp Luân Công
My Brother’s Speedy Recovery from Colon Cancer,Anh trai tôi nhanh chóng khỏi căn bệnh ung thư ruột kết
9-year-old Girl Witnesses Police Raid and Interrogated Following Grandmother’s Arrest,Một bé gái 9 tuổi chứng kiến cảnh sát ập vào và hỏi cung sau khi bà của bé bị bắt
"Seven Women, Including Four in Their 70s and 80s, Stand Trial for Practicing Falun Gong","Tỉnh Liêu Ninh: 7 người phụ nữ, trong đó 4 người ngoài 70 và ngoài 80 tuổi, bị xét xử vì tu luyện Pháp Luân Công"
Former Lecturer in Serious Condition While Serving Time for His Faith,Một cựu giảng viên trong tình trạng nghiêm trọng khi bị bỏ tù vì tín ngưỡng của mình
Heilongjiang Province Women’s Prison Bars Falun Gong Practitioners from Receiving Remittance of Money to Buy Daily Necessities,Trại tù Nữ tỉnh Hắc Long Giang cấm các học viên Pháp Luân Công nhận tiền gửi để mua đồ dùng thiết yếu hàng ngày
Financial Persecution of Falun Gong Practitioners by Jinzhou Social Security Service Center in Liaoning Province,Tóm tắt về sự bức hại tài chính của Trung tâm Phục vụ An sinh Xã hội Cẩm Châu ở tỉnh Liêu Ninh đối với các học viên Pháp Luân Công
"Woman in Her 70s Sentenced to 3.5 Years for Her Faith, Struggles with Poor Health in Custody","Một người phụ nữ ngoài 70 tuổi bị kết án 3,5 năm tù vì kiên định đức tin đang phải vật lộn với sức khoẻ kém ở trong trại giam"
Police Ransack 81-year-old Woman’s Home and Install Three Cameras to Monitor Her,Cảnh sát lục soát nhà và lắp đặt ba chiếc camera để theo dõi một cụ bà 81 tuổi
Kindergartner and College-bound Brother in Dire Straits after Parents and Aunt Sentenced for Their Faith,Trẻ mẫu giáo và người anh trai chuẩn bị vào đại học lâm vào tình cảnh khó khăn sau khi cha mẹ và người cô của họ bị kết án vì kiên định đức tin
"Seven Women, Including Four in Their 70s and 80s, Sentenced for Practicing Falun Gong","Bảy người phụ nữ, trong đó có bốn người đã ngoài 70 và 80 tuổi, bị kết án vì tu luyện Pháp Luân Công"
"Two Falun Gong Practitioners Arrested in 2019, One Sentenced and Another Cleared of Prosecution in 2022","Hai học viên Pháp Luân Công bị bắt từ năm 2019, một người vừa bị kết án, người còn lại được hủy bỏ truy tố vào năm 2022"
Sichuan Woman Now a Vegetable after Suspicious Fall While Serving Time for Her Faith,Một phụ nữ Tứ Xuyên thành người thực vật sau khi bị ngã một cách đáng ngờ ở trong tù
72-year-old Woman Living on Her Own Arrested for Practicing Falun Gong,Cảnh sát bắt giữ người phụ nữ 72 tuổi sống một mình chỉ vì bà tu luyện Pháp Luân Công
"Daqing City: Heilongjiang Province: 14 Falun Gong Practitioners, Including a 98-year-old Woman, Arrested in One Day","Thành phố Đại Khánh, tỉnh Hắc Long Giang: 14 học viên Pháp Luân Công, trong đó có một cụ bà 98 tuổi, bị bắt giữ trong một ngày"
